	PD_whole_tree	chao1	observed_otus
E3.11.Fun.sp.1.20150125.T	23.46244	143.24	100.0
E1.6.Acr.humi.1.20140731.M	17.07443	135.75	89.0
E3.15.Dip.heli.2.20150120.S	73.84754	1466.01587302	463.0
E1.19.Sym.sp.1.20140905.S	34.81924	577.857142857	205.0
E1.17.Fav.sp.1.20140805.S	19.9363	469.428571429	94.0
E10.17.Fav.abdi.2.20150630.M	7.92681	88.4285714286	49.0
E10.Aca.hill.1.20150629.S	37.62601	704.208333333	302.0
E3.15.Dip.heli.1.20150105.T	68.12614	999.012345679	460.0
E1.7.Pav.vari.1.20140805.S	37.11182	1575.90322581	387.0
E1.7.Pav.vari.1.20140805.T	78.34056	1628.18072289	563.0
E3.5.Gal.astr.2.20150124.T	86.37802	990.009345794	513.0
E3.15.Dip.heli.4.20150105.S	67.18586	1889.18181818	510.0
E1.3.Por.cyli.1.20140815.S	35.39939	605.103448276	230.0
E3.15.Dip.heli.2.20150105.S	46.6721	1468.0	376.0
E3.15.Dip.heli.3.20150120.M	6.70322	69.6666666667	44.0
E3.15.Dip.heli.1.20150105.S	54.45156	1431.33333333	379.0
E7.Sed.1.20150623	83.86808	2622.89534884	704.0
E7.17.Fav.abdi.1.20150623.S	77.02874	1820.31818182	525.0
E1.15.Dip.heli.1.20140815.S	45.92889	692.109090909	323.0
E10.Alv.alli.3.20150628.T	68.80372	1292.57692308	487.0
E1.4.Pac.rugo.1.20140814.M	46.57657	396.590163934	257.0
E7.Sed.1.20150621	88.86641	2506.15909091	702.0
E7.Sed.1.20150622	80.67512	2564.55405405	663.0
E3.15.Dip.heli.2.20150121.S	53.75816	1076.0	341.0
E1.Out.Hel.coer.1.20140811.S	70.87722	1861.66666667	525.0
E3.15.Dip.heli.2.20150123.S	52.6773	1168.0	352.0
E7.17.Ech.lame.2.20150620.T	32.8428	252.933333333	177.0
E7.7.Pav.vari.2.20150622.T	67.88077	1317.46153846	489.0
E1.11.Fun.sp.1.20140730.T	71.98319	1925.96226415	480.0
E10.Water.2.20150628	87.75974	3348.76388889	735.0
E1.7.Pav.veno.1.20140811.T	59.46447	1281.94444444	395.0
E3.11.Fun.sp.1.20150127.M	15.26084	96.0	73.0
E7.Sed.1.20150620	97.64846	3362.125	766.0
E10.Sed.1.20150628	86.31142	2820.01538462	647.0
E10.Water.1.20150629	85.14577	3030.33333333	660.0
E7.17.Myc.elep.1.20150622.M	24.08228	278.666666667	137.0
E1.2.Tur.reni.1.20140730.M	68.56605	1452.89705882	492.0
E1.17.Cau.furc.1.20140801.T	53.40555	1437.08823529	329.0
E3.7.Pav.vari.1.20150124.S	60.09341	1328.22222222	424.0
E1.11.Psa.digi.1.20140807.M	42.19847	674.236842105	255.0
E1.14.Phy.lich.1.20140811.S	91.80826	3920.68421053	694.0
E3.Out.Pal.caes.2.20150125.S	61.72084	1138.73770492	423.0
E3.14.Phy.lich.2.20150125.S	53.35839	608.642857143	308.0
E7.17.Fav.spA.2.20150623.S	60.80972	1103.49180328	407.0
E3.15.Dip.heli.2.20150106.S	83.87078	3503.36206897	668.0
E1.19.Lob.sp.1.20140730.S	67.61641	1570.0	487.0
E10.Alv.alli.2.20150628.S	38.82241	368.163265306	220.0
E7.19.Lob.hemp.1.20150619.S	46.82028	1178.44680851	371.0
E1.7.Pav.vari.1.20140815.T	68.02791	2176.11764706	516.0
E1.2.Tur.pelt.1.20140814.T	44.67687	421.157894737	283.0
E10.Sed.1.20150627	74.79289	2318.72058824	614.0
E3.15.Dip.heli.3.20150120.S	29.65939	546.0	183.0
E1.2.Tur.pelt.1.20140814.M	29.37396	309.142857143	131.0
E3.15.Dip.heli.2.20150106.M	12.45323	192.0	60.0
E7.7.Pav.vari.2.20150622.M	14.26289	283.0	78.0
E3.15.Dip.heli.3.20150105.M	19.06342	211.0	112.0
E7.17.Fav.spA.1.20150623.M	6.32469	152.0	59.0
E3.6.Acr.hyac.1.20150121.S	7.49118	105.428571429	66.0
E7.17.Gon.edwa.1.20150623.S	46.39784	1063.66666667	344.0
E1.6.Iso.pali.1.20140803.M.2	37.90184	558.6	222.0
E7.5.Gal.fasc.1.20150621.M	24.81664	240.0	130.0
E3.6.Acr.hyac.3.20150121.T	10.04033	187.0	61.0
E10.Cyp.micr.1.20150627.T	29.94376	430.058823529	133.0
E7.6.Acr.hyac.2.20150622.S	6.51164	133.0	58.0
E3.6.Acr.hyac.3.20150123.T	14.5266	253.0	118.0
E3.6.Acr.hyac.1.20150106.T	5.85814	123.0	61.0
E3.14.Phy.lich.1.20150125.T	14.8113	336.0	91.0
E1.11.Fun.sp.1.20140811.S	21.02617	324.2	164.0
E1.2.Tur.pelt.1.20140814.S	20.34346	512.545454545	188.0
E3.6.Acr.hyac.1.20150105.M	8.98637	121.125	63.0
E1.15.Dip.heli.1.20140905.M	21.29471	437.12	184.0
E3.7.Pav.vari.2.20150124.M	25.46578	377.0	187.0
E1.11.Fun.sp.1.20140730.M	86.90403	1990.14130435	645.0
E1.11.Lep.tran.1.20140731.S	67.37217	1721.6875	442.0
E1.Out.Hel.coer.1.20140811.M	39.56912	605.62	287.0
E10.Cyp.sera.2.20150628.M	17.84157	201.8	89.0
E3.17.Ech.mamm.1.20150123.S	19.04858	188.666666667	115.0
E1.15.Dip.heli.1.20140809.T	59.98407	654.25	430.0
E1.7.Pav.sp.1.20140905.S	28.71939	438.263157895	221.0
E1.5.Gal.astr.1.20140814.S	48.97462	1391.09375	347.0
E3.4.Pac.spec.1.20150129.T	47.57823	418.779661017	270.0
E1.6.Iso.pali.1.20140815.S	55.46179	880.125	341.0
E1.17.Cau.furc.1.20140801.M	27.97055	515.461538462	127.0
E7.6.Mon.aequ.4.20150620.T	39.56745	423.09375	288.0
E10.Aca.hill.1.20150629.M	69.10976	1082.14285714	500.0
E1.11.Lep.tran.1.20140731.M	6.46975	109.0	44.0
E7.17.Mer.ampl.2.20150621.S	18.35499	212.5	102.0
E7.17.Ech.lame.3.20150620.M	58.35915	805.68	384.0
E3.6.Acr.hyac.2.20150105.S	6.39358	71.6666666667	40.0
