Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Alcyonacea Tissue	Millepora Mucus	E1.Out.Lob.sp.1.20140803.T	0.0	44.0	0.0	None	None
Alcyonacea Tissue	Reef Sediment	E1.Out.Lob.sp.1.20140803.T	0.0	677.0	45.2437841035	-9.39541314683	0.44643902439
Heliopora Tissue	Whole Coral	E1.Out.Hel.coer.1.20140811.T	0.0	E1.11.Psa.cont.1.20140730.TS	0.0	None	None
Whole Coral	Coral Tissue	E1.11.Psa.cont.1.20140730.TS	0.0	167.748768473	155.958093828	-0.815097206419	0.632301204819
Coral Mucus	Millepora Tissue	119.004739336	97.1846094748	64.0	14.0	0.796574375531	0.648025316456
Coral Mucus	Heliopora Skeleton	119.004739336	97.1846094748	E1.Out.Hel.coer.1.20140811.S	0.0	4.15781524207	0.166833333333
Alcyonacea Skeleton	Heliopora Skeleton	E1.Out.Lob.sp.1.20140803.S	0.0	E1.Out.Hel.coer.1.20140811.S	0.0	None	None
Millepora Tissue	Zooanthid Mucus	64.0	14.0	291.5	176.5	-1.28491603889	0.874823529412
Unknown	Heliopora Tissue	100.142857143	95.9128005332	E1.Out.Hel.coer.1.20140811.T	0.0	3.12284773387	0.461290322581
Reef Sediment	Zooanthid Skeleton	677.0	45.2437841035	111.0	47.0	14.0427574993	0.246277777778
Whole Coral	Heliopora Skeleton	E1.11.Psa.cont.1.20140730.TS	0.0	E1.Out.Hel.coer.1.20140811.S	0.0	None	None
Millepora Tissue	Heliopora Skeleton	64.0	14.0	E1.Out.Hel.coer.1.20140811.S	0.0	19.0113195783	0.8294
Alcyonacea Tissue	Coral Skeleton	E1.Out.Lob.sp.1.20140803.T	0.0	210.051886792	170.491138889	-0.0878699860211	1.0
Alcyonacea Mucus	Coral Tissue	E1.Out.Lob.sp.1.20140803.M	0.0	167.748768473	155.958093828	-0.285518182359	1.0
Alcyonacea Skeleton	Zooanthid Mucus	E1.Out.Lob.sp.1.20140803.S	0.0	291.5	176.5	-0.64277239601	0.865592920354
Alcyonacea Mucus	Millepora Tissue	E1.Out.Lob.sp.1.20140803.M	0.0	64.0	14.0	2.43311899158	0.6417125
Unknown	Zooanthid Mucus	100.142857143	95.9128005332	291.5	176.5	-1.77398218999	0.469857142857
Coral Mucus	Alcyonacea Mucus	119.004739336	97.1846094748	E1.Out.Lob.sp.1.20140803.M	0.0	0.0409156393984	1.0
Unknown	Alcyonacea Skeleton	100.142857143	95.9128005332	E1.Out.Lob.sp.1.20140803.S	0.0	-0.0464363975297	1.0
Zooanthid Tissue	Zooanthid Skeleton	391.5	222.5	111.0	47.0	1.23345568605	0.650833333333
Zooanthid Mucus	Coral Skeleton	291.5	176.5	210.051886792	170.491138889	0.669068800257	0.927911111111
Reef Sediment	Zooanthid Mucus	677.0	45.2437841035	291.5	176.5	4.91695022235	0.219266666667
Zooanthid Tissue	Heliopora Tissue	391.5	222.5	E1.Out.Hel.coer.1.20140811.T	0.0	0.141418380543	1.0
Heliopora Tissue	Heliopora Skeleton	E1.Out.Hel.coer.1.20140811.T	0.0	E1.Out.Hel.coer.1.20140811.S	0.0	None	None
Zooanthid Tissue	Heliopora Mucus	391.5	222.5	E1.Out.Hel.coer.1.20140811.M	0.0	-0.271160014069	1.0
Heliopora Skeleton	Zooanthid Mucus	E1.Out.Hel.coer.1.20140811.S	0.0	291.5	176.5	0.763803330628	0.916310679612
Millepora Skeleton	Heliopora Skeleton	82.0	30.0	E1.Out.Hel.coer.1.20140811.S	0.0	8.52553897503	0.742238095238
Zooanthid Mucus	Millepora Mucus	291.5	176.5	44.0	0.0	-0.809598819402	0.868306306306
Heliopora Mucus	Millepora Skeleton	E1.Out.Hel.coer.1.20140811.M	0.0	82.0	30.0	3.94522683946	0.869
Alcyonacea Tissue	Millepora Tissue	E1.Out.Lob.sp.1.20140803.T	0.0	64.0	14.0	5.40234894742	0.761885245902
Coral Mucus	Zooanthid Tissue	119.004739336	97.1846094748	391.5	222.5	-3.8521100725	0.0429
Heliopora Mucus	Coral Skeleton	E1.Out.Hel.coer.1.20140811.M	0.0	210.051886792	170.491138889	0.449208110925	0.959636363636
Alcyonacea Skeleton	Millepora Mucus	E1.Out.Lob.sp.1.20140803.S	0.0	44.0	0.0	None	None
Zooanthid Tissue	Unknown	391.5	222.5	100.142857143	95.9128005332	2.37838222104	0.49764
Coral Mucus	Millepora Mucus	119.004739336	97.1846094748	44.0	0.0	-0.768126819832	0.863836734694
Heliopora Tissue	Alcyonacea Mucus	E1.Out.Hel.coer.1.20140811.T	0.0	E1.Out.Lob.sp.1.20140803.M	0.0	None	None
Coral Tissue	Zooanthid Skeleton	167.748768473	155.958093828	111.0	47.0	0.511847277857	0.874025862069
Coral Mucus	Zooanthid Mucus	119.004739336	97.1846094748	291.5	176.5	-2.4601478461	0.243941176471
Unknown	Alcyonacea Mucus	100.142857143	95.9128005332	E1.Out.Lob.sp.1.20140803.M	0.0	0.206383989021	1.0
Reef Sediment	Millepora Skeleton	677.0	45.2437841035	82.0	30.0	15.7896605499	0.209
Zooanthid Skeleton	Millepora Mucus	111.0	47.0	44.0	0.0	-0.823031234802	0.86050877193
Millepora Skeleton	Whole Coral	82.0	30.0	E1.11.Psa.cont.1.20140730.TS	0.0	-0.808290376865	0.8669375
Millepora Skeleton	Millepora Mucus	82.0	30.0	44.0	0.0	-0.731310340974	0.89408411215
Heliopora Tissue	Millepora Mucus	E1.Out.Hel.coer.1.20140811.T	0.0	44.0	0.0	None	None
Heliopora Skeleton	Millepora Mucus	E1.Out.Hel.coer.1.20140811.S	0.0	44.0	0.0	None	None
Alcyonacea Mucus	Alcyonacea Skeleton	E1.Out.Lob.sp.1.20140803.M	0.0	E1.Out.Lob.sp.1.20140803.S	0.0	None	None
Alcyonacea Mucus	Millepora Mucus	E1.Out.Lob.sp.1.20140803.M	0.0	44.0	0.0	None	None
Heliopora Tissue	Coral Tissue	E1.Out.Hel.coer.1.20140811.T	0.0	167.748768473	155.958093828	1.77537368236	0.4736875
Alcyonacea Mucus	Zooanthid Mucus	E1.Out.Lob.sp.1.20140803.M	0.0	291.5	176.5	-0.551181418461	1.0
Millepora Tissue	Millepora Mucus	64.0	14.0	44.0	0.0	-0.824786098842	0.966739583333
Alcyonacea Mucus	Millepora Skeleton	E1.Out.Lob.sp.1.20140803.M	0.0	82.0	30.0	0.789045367892	0.93665
Zooanthid Tissue	Zooanthid Mucus	391.5	222.5	291.5	176.5	0.35210721917	0.990119565217
